tune_name,page,style,booknames,notes
The 8th Argylls' Farewell to the 116th Regiment of Ligne,24,March,Scots Guards Volume 2,
The 74th's Farewell to Edinburgh,64,March,Scots Guards Volume 2,
Cabar Feidh,72,Strathspey,Scots Guards Volume 2,
The Caledonian Society of London,73,Strathspey,Scots Guards Volume 2,
The Cameronian Rant,74,Strathspey,Scots Guards Volume 2,
Captain Colin Campbell,76,Strathspey,Scots Guards Volume 2,
Dalnahassaig,77,Strathspey,Scots Guards Volume 2,
The Duke of Gordon's Birthday,77,Strathspey,Scots Guards Volume 2,
The Ewe with the crooked horn,78,Strathspey,Scots Guards Volume 2,
The Gruagach (The Girl),79,Strathspey,Scots Guards Volume 2,
Inveraray Castle,80,Strathspey,Scots Guards Volume 2,
Mackbeth's Strathspey,82,Strathspey,Scots Guards Volume 2,
Monymusk,83,Strathspey,Scots Guards Volume 2,
O'er the bows to Ballindalloch,83,Strathspey,Scots Guards Volume 2,
Susan Macleod,84,Strathspey,Scots Guards Volume 2,
Thick lies the mist on yonder hill,85,Strathspey,Scots Guards Volume 2,
Tulloch Castle,86,Strathspey,Scots Guards Volume 2,
Wiseman's Exercise,87,Strathspey,Scots Guards Volume 2,
Barney's Balmoral - A reel,88,Reel,Scots Guards Volume 2,
Clean Peace Strae,88,Reel,Scots Guards Volume 2,
Colonel Macleod,89,Reel,Scots Guards Volume 2,
Lieutenant Colonel DJS Murray,90,Reel,Scots Guards Volume 2,
The Devil in the Kitchen,91,Reel,Scots Guards Volume 2,
Inverninate House,92,Reel,Scots Guards Volume 2,
Johnnie macdonald's Reel,92,Reel,Scots Guards Volume 2,
Kalabakan,93,Reel,Scots Guards Volume 2,
Lexy McAskill,94,Reel,Scots Guards Volume 2,
The Little Cascade,95,Reel,Scots Guards Volume 2,
Lochiel's away to France,96,Reel,Scots Guards Volume 2,
Lumsden's Rant,97,Reel,Scots Guards Volume 2,
Major Campbell Graham MBE,98,Reel,Scots Guards Volume 2,
The Man from Glengarry,99,Reel,Scots Guards Volume 2,
Miss Girdle,100,Reel,Scots Guards Volume 2,
The Ness Pipers,100,Reel,Scots Guards Volume 2,
Sleepy Maggie,102,Reel,Scots Guards Volume 2,
The Sound of sleat,103,Reel,Scots Guards Volume 2,
Balmoral,104,Retreat,Scots Guards Volume 2,
The Banks of allan Water,105,Retreat,Scots Guards Volume 2,
The Bloody Fields of Flanders,105,Retreat,Scots Guards Volume 2,
Castle Dangerous,106,Retreat,Scots Guards Volume 2,
I see Mull (Land of my Youth),108,Retreat,Scots Guards Volume 2,
Major JJD Cox,109,Retreat,Scots Guards Volume 2,
Nameless,109,Retreat,Scots Guards Volume 2,
Pipe Major JK Cairns,110,Retreat,Scots Guards Volume 2,
Talmine Bay,112,Retreat,Scots Guards Volume 2,
Auld Lang Syne,113,Slow March,Scots Guards Volume 2,
Brentwood Bay,113,Slow March,Scots Guards Volume 2,
Cailinn Mo Ruinsa (The maid I adore),114,Slow March,Scots Guards Volume 2,
The Cradle Song,114,Slow March,Scots Guards Volume 2,
The dark Island,115,Slow March,Scots Guards Volume 2,
Dream Angus,115,Slow March,Scots Guards Volume 2,
El Alamein,116,Slow March,Scots Guards Volume 2,
The Fairy Lullaby,117,Slow March,Scots Guards Volume 2,
The flower of Scotland,118,Slow March,Scots Guards Volume 2,
A Gaelic Air (O Luiaidh-Oh my dearest dear),119,Slow March,Scots Guards Volume 2,
I will go home to Kintail,120,Slow March,Scots Guards Volume 2,
Leaving Lismore,121,Slow March,Scots Guards Volume 2,
Leaving Lochboisdale,122,Slow March,Scots Guards Volume 2,
Loch Tay boat song,122,Slow March,Scots Guards Volume 2,
